Year Day,ShW T,ShW T anom,ShW S,ShW S anom,ShW Vol,ShW Vol anom,Year
235,14.16,-0.44,33.03,0.41,3615.08,-798.95,1977.64
297,14.18,-1.33,32.99,0.12,3094.94,-428.74,1977.81
56,4.38,-1.25,33.03,0.02,4051.39,271.40,1978.15
121,6.42,-1.51,32.72,-0.02,5127.43,908.42,1978.33
182,11.12,-0.24,32.36,-0.21,3992.13,-1111.41,1978.50
231,13.44,-0.91,32.46,-0.15,4185.74,-324.82,1978.63
62,4.23,-1.38,33.17,0.18,3635.68,-120.64,1979.17
132,8.25,-0.31,32.82,0.12,3914.66,-516.69,1979.36
183,11.74,0.31,32.57,0.00,3562.01,-1543.05,1979.50
230,14.05,-0.28,32.72,0.11,3938.00,-580.50,1979.63
285,15.56,-0.33,32.84,0.03,3257.88,-311.75,1979.78
69,4.13,-1.54,33.41,0.45,2774.99,-964.30,1980.19
114,7.09,-0.42,33.20,0.43,3493.22,-596.39,1980.31
152,9.63,-0.05,33.09,0.46,3900.29,-904.62,1980.42
205,12.92,0.17,32.98,0.41,3958.77,-1017.84,1980.56
278,15.77,-0.19,33.18,0.39,3055.58,-570.02,1980.76
334,9.92,-2.67,33.37,0.36,2404.36,-1327.42,1980.92
87,4.81,-1.35,33.36,0.47,3009.30,-764.83,1981.24
77,4.70,-1.15,32.72,-0.21,4022.16,282.35,1982.21
154,10.07,0.31,32.51,-0.12,4471.91,-357.31,1983.42
329,12.66,-0.49,32.90,-0.09,4374.12,690.45,1983.90
33,6.26,-0.09,32.78,-0.28,3806.86,-95.44,1984.09
136,8.47,-0.30,32.30,-0.39,4263.33,-240.55,1984.37
314,15.42,0.90,33.00,0.06,2895.67,-673.48,1984.86
32,5.77,-0.67,33.37,0.31,1829.22,-2080.29,1985.09
105,7.10,0.07,33.37,0.56,2889.90,-1065.87,1985.29
140,10.41,1.41,33.28,0.61,3432.13,-1150.87,1985.38
249,16.21,0.89,33.05,0.38,3487.99,-612.34,1985.68
319,14.81,0.71,33.19,0.23,2625.19,-976.85,1985.87
17,6.86,-0.63,33.27,0.19,1887.76,-2071.65,1986.05
136,9.38,0.61,33.04,0.35,2650.84,-1853.03,1986.37
247,15.93,0.69,32.80,0.14,2959.35,-1180.04,1986.68
315,14.36,-0.04,33.11,0.17,3055.90,-521.94,1986.86
17,7.44,-0.05,33.07,-0.01,3271.84,-687.57,1987.05
133,7.90,-0.68,32.66,-0.04,4083.28,-355.33,1987.36
238,13.83,-0.94,32.54,-0.09,4545.06,196.12,1987.65
317,12.00,-2.25,32.61,-0.34,4501.06,911.54,1987.87
77,6.57,0.74,33.04,0.10,3592.39,-146.33,1991.21
217,12.14,-1.37,32.61,0.03,5687.87,896.92,1991.59
263,16.35,0.55,32.62,-0.10,3793.95,-37.65,1991.72
75,5.92,0.14,32.92,-0.02,4307.46,570.56,1992.21
171,10.31,-0.44,32.24,-0.35,4359.26,-691.18,1992.47
266,14.98,-0.88,32.56,-0.17,4347.96,564.46,1992.73
45,6.05,0.20,32.95,-0.09,4978.94,1140.97,1993.12
83,4.97,-1.06,32.69,-0.22,4697.21,940.81,1993.23
218,12.55,-1.00,32.51,-0.07,5500.50,722.85,1993.60
261,15.43,-0.32,32.71,0.00,4164.30,300.92,1993.72
39,5.49,-0.58,32.99,-0.06,3993.42,122.33,1994.11
73,4.84,-0.90,32.71,-0.24,3606.23,-130.11,1994.20
181,12.12,0.78,32.41,-0.16,4244.76,-858.10,1994.50
215,13.61,0.19,32.64,0.06,3567.59,-1249.34,1994.59
264,15.83,0.01,32.86,0.13,3511.83,-301.32,1994.72
