"","Month","GSI","year","month"
"1",1954.01,1.68579901,1954,1
"2",1954.02,1.833599791,1954,2
"3",1954.03,1.51239864,1954,3
"4",1954.04,1.479394653,1954,4
"5",1954.05,1.345594531,1954,5
"6",1954.06,1.728450871,1954,6
"7",1954.07,1.447143414,1954,7
"8",1954.08,-0.2971528257,1954,8
"9",1954.09,0.6858920006,1954,9
"10",1954.1,0.9743286991,1954,10
"11",1954.11,0.3235705354,1954,11
"12",1954.12,-0.7001395943,1954,12
"13",1955.01,-0.8250446647,1955,1
"14",1955.02,-0.6483803059,1955,2
"15",1955.03,-0.2611502238,1955,3
"16",1955.04,-0.06789533897,1955,4
"17",1955.05,0.08987334939,1955,5
"18",1955.06,-0.1977993658,1955,6
"19",1955.07,0.3534646842,1955,7
"20",1955.08,0.4933914125,1955,8
"21",1955.09,0.5377810893,1955,9
"22",1955.1,-0.1364741318,1955,10
"23",1955.11,-0.3719007786,1955,11
"24",1955.12,-0.9963628602,1955,12
"25",1956.01,-1.223586287,1956,1
"26",1956.02,-0.7152575521,1956,2
"27",1956.03,-0.9359031536,1956,3
"28",1956.04,-0.4687143272,1956,4
"29",1956.05,-0.9301012138,1956,5
"30",1956.06,-0.6533873227,1956,6
"31",1956.07,0.5448735096,1956,7
"32",1956.08,0.1394389814,1956,8
"33",1956.09,0.4926622197,1956,9
"34",1956.1,0.1716279385,1956,10
"35",1956.11,0.2816709337,1956,11
"36",1956.12,0.1608945016,1956,12
"37",1957.01,-0.1260115436,1957,1
"38",1957.02,-0.03503884,1957,2
"39",1957.03,1.220232651,1957,3
"40",1957.04,-0.1289568809,1957,4
"41",1957.05,-0.3051915322,1957,5
"42",1957.06,0.1675238648,1957,6
"43",1957.07,0.324108769,1957,7
"44",1957.08,0.2808868632,1957,8
"45",1957.09,-0.1051803373,1957,9
"46",1957.1,0.2263932877,1957,10
"47",1957.11,0.1362281215,1957,11
"48",1957.12,-0.6718435037,1957,12
"49",1958.01,-1.457975924,1958,1
"50",1958.02,-0.9018746058,1958,2
"51",1958.03,-0.876365049,1958,3
"52",1958.04,-2.195208642,1958,4
"53",1958.05,-1.118895128,1958,5
"54",1958.06,-2.198621475,1958,6
"55",1958.07,-1.64218718,1958,7
"56",1958.08,-0.7019841918,1958,8
"57",1958.09,-0.5809784807,1958,9
"58",1958.1,-1.003130183,1958,10
"59",1958.11,-0.989611629,1958,11
"60",1958.12,-0.4662930315,1958,12
"61",1959.01,-1.440114064,1959,1
"62",1959.02,-1.057777053,1959,2
"63",1959.03,-1.54268501,1959,3
"64",1959.04,-2.293110771,1959,4
"65",1959.05,-1.781926217,1959,5
"66",1959.06,-1.189049539,1959,6
"67",1959.07,-1.669378172,1959,7
"68",1959.08,-1.682672176,1959,8
"69",1959.09,-1.244806388,1959,9
"70",1959.1,-1.709580223,1959,10
"71",1959.11,-0.4032958562,1959,11
"72",1959.12,-1.103798178,1959,12
"73",1960.01,-0.8358820511,1960,1
"74",1960.02,-0.9339574785,1960,2
"75",1960.03,-0.5319929761,1960,3
"76",1960.04,-0.9582069608,1960,4
"77",1960.05,-0.8300652706,1960,5
"78",1960.06,-1.469317148,1960,6
"79",1960.07,-1.537192548,1960,7
"80",1960.08,-1.908383353,1960,8
"81",1960.09,-1.518714056,1960,9
"82",1960.1,-1.464640251,1960,10
"83",1960.11,-2.155353398,1960,11
"84",1960.12,-1.528925554,1960,12
"85",1961.01,-0.7758762663,1961,1
"86",1961.02,-0.6029378904,1961,2
"87",1961.03,-0.3881845967,1961,3
"88",1961.04,-1.483504902,1961,4
"89",1961.05,-1.336761489,1961,5
"90",1961.06,-0.5779699323,1961,6
"91",1961.07,-1.405000552,1961,7
"92",1961.08,-0.9706524962,1961,8
"93",1961.09,-2.020600481,1961,9
"94",1961.1,-0.6774355483,1961,10
"95",1961.11,-0.2895854735,1961,11
"96",1961.12,-0.7771195334,1961,12
"97",1962.01,0.1147255254,1962,1
"98",1962.02,-1.625878754,1962,2
"99",1962.03,-1.160347199,1962,3
"100",1962.04,-1.592209818,1962,4
"101",1962.05,-0.9135212889,1962,5
"102",1962.06,-1.02139387,1962,6
"103",1962.07,-1.314863205,1962,7
"104",1962.08,-1.62788667,1962,8
"105",1962.09,-0.5038719087,1962,9
"106",1962.1,-0.06668731398,1962,10
"107",1962.11,-2.080007116,1962,11
