year,month,mean_cpue,GSI
1998,1,1.86978254,-0.497783164
1998,2,11.26333333,-1.54072174
1998,3,0,-1.365124887
1998,11,0,0.409874604
1999,7,0,1.225385373
1999,9,0,0.853206091
1999,10,3.815,1.311101875
2000,2,2.51030303,0.513947885
2000,7,0,0.405057574
2000,8,0,1.223774945
2001,4,10.00249388,0.29490659
2001,6,0,0.46096007
2001,7,0,0.475350734
2001,10,0,0.721989394
2001,11,1.855898061,1.054218754
2002,2,23.06878307,1.077206243
2002,10,0,1.453586306
2002,11,0,1.339859934
2003,3,12.07810235,0.015705326
2003,4,13.11676587,-0.012712147
2003,5,0,-0.0255
2003,6,0,0.165241601
2003,7,0.825757576,0.253587861
2003,8,0,0.134419303
2003,11,3.258152174,-0.247415878
2003,12,6.334775522,0.160673001
2004,1,7.797435919,0.155010363
2004,3,0,-0.348022242
2004,4,0.755751232,-0.462264273
2004,6,0,-0.029499282
2004,7,0,-0.391229227
2004,8,0,-0.610252
2004,10,0.550029556,-0.370024979
2004,11,0,-0.849992109
2004,12,0,-0.471392302
2005,2,1.104118911,-0.363621135
2005,3,0.979584528,-0.355661171
2005,4,0,-0.193153107
2005,5,0,-0.798034142
2005,6,0,-0.236276139
2005,8,0.198181818,0.142313163
2005,9,0,0.291912654
2005,10,0,-0.322593113
2005,11,0.592391304,-0.311667478
2005,12,0.465072667,-0.181010655
2006,1,1.790066841,0.222316788
2006,2,0.371194545,0.617859123
2006,3,0,0.02302707
2006,4,0,0.438036288
2006,5,0,0.614431477
2006,6,0,0.195981604
2006,7,9.909090909,-0.055509495
2006,8,0,0.231957985
2006,10,0.445844241,-0.872609679
2006,11,9.569195848,-0.638256351
2006,12,0,-0.891108309
2007,1,0,-1.114169845
2007,3,2.296785714,-0.867916426
2007,4,0,-1.180265557
2007,5,0,-1.042751681
2007,7,0.261437908,-0.751122941
2007,8,1.307014917,-0.400533625
2007,9,0.181666667,-0.583765724
2007,10,2.249742002,-0.831841893
2007,11,1.153654517,-1.388250047
2007,12,0,-0.219290998
2008,1,6.065042852,0.201472076
2008,2,5.389921239,0.064419868
