"date","year","month","yday","trip_id","hull_num","area","effort_dur","sum_gt_catch","cpue_hr","mesh_size","mesh_bin","depth","start_lat","start_lon","bottomt","bottomt_avg","min_temp_c","mean_temp_c","max_temp_c","temp_variance","temp_deviation","mean_dpth_m","tri","sed"
2010-12-31,2010,12,365,"000201101E04001","1040383","626",4.2,0,0,5.3543336,"SM",35,37.191667,-74.766667,12.5073091909289,11.4330576583743,NA,NA,NA,NA,NA,NA,1.92059445381165,48
2010-12-31,2010,12,365,"000201101E04001","1040383","626",4.3,0,0,5.3543336,"SM",36,37.19,-74.763333,12.5073091909289,11.4330576583743,NA,NA,NA,NA,NA,NA,1.95603168010712,48
2010-12-31,2010,12,365,"000201101E04001","1040383","626",4,0,0,5.3543336,"SM",37,37.196667,-74.758333,12.5073091909289,11.4330576583743,NA,NA,NA,NA,NA,NA,1.94628715515137,46
2010-12-31,2010,12,365,"000201101E04001","1040383","626",4.2,0,0,5.3543336,"SM",37,37.191667,-74.756667,12.5073091909289,11.4330576583743,NA,NA,NA,NA,NA,NA,2.07708883285522,41
2010-12-31,2010,12,365,"000201101E04001","1040383","626",4.3,0,0,5.3543336,"SM",37,37.19,-74.76,12.5073091909289,11.4330576583743,NA,NA,NA,NA,NA,NA,2.00823831558228,41
2011-01-27,2011,1,27,"000201101E04005","1073368","622",3.1,0,0,5.3149635,"SM",50,38.291667,-73.846667,10.4213080331683,10.4796594232321,NA,NA,NA,NA,NA,NA,1.26581346988678,56
2011-01-27,2011,1,27,"000201101E04005","1073368","622",3,14.17,4.72333333333333,5.3149635,"SM",49,38.400833,-73.662222,11.3500473126769,11.5485396981239,NA,NA,NA,NA,NA,NA,2.15738010406494,60
2011-01-22,2011,1,22,"000201101G81006","910012","616",3.7,0,0,5.0787429,"SM",78,39.455,-72.326667,13.1357463374734,10.8102359175682,NA,NA,NA,NA,NA,NA,4.06469249725342,61
2011-01-22,2011,1,22,"000201101G81006","910012","616",3.7,4.36,1.17837837837838,5.0787429,"SM",84,39.303333,-72.398333,13.4550920203328,12.1327860429883,NA,NA,NA,NA,NA,NA,3.17500853538513,61
2011-01-22,2011,1,22,"000201101G81006","910012","616",2.4,0,0,5.0787429,"SM",79,39.303333,-72.475,13.1174352318048,13.1272011548281,NA,NA,NA,NA,NA,NA,0.604415237903595,56
2011-01-22,2011,1,22,"000201101G81006","910012","616",2.8,0,0,5.0787429,"SM",79,39.216667,-72.58,13.2712485194206,12.060762360692,NA,NA,NA,NA,NA,NA,2.11494922637939,61
2011-01-24,2011,1,23,"000201101H34003","596232","537",2.6,10.9,4.19230769230769,2.9133874,"SM",125,39.991667,-71.296667,11.3229468762875,9.74697104841471,NA,NA,NA,NA,NA,NA,3.45840191841125,62
2011-01-24,2011,1,23,"000201101H34003","596232","537",2.8,10.9,3.89285714285714,2.9133874,"SM",145,40.016667,-71.135,10.1656849980354,10.7289346083999,NA,NA,NA,NA,NA,NA,3.20466899871826,52
2011-01-24,2011,1,23,"000201101H34003","596232","537",3.7,0,0,2.9133874,"SM",144,40.015,-70.915,9.98184149712324,9.85317546129227,NA,NA,NA,NA,NA,NA,3.57624316215515,61
2011-01-24,2011,1,23,"000201101H34003","596232","537",3,9.81,3.27,2.9133874,"SM",142,40.021667,-71.116667,10.3846858218312,10.7965636253357,NA,NA,NA,NA,NA,NA,3.10315442085266,62
2011-01-02,2011,1,2,"000201101H38001","626498","626",4,0,0,5.511814,"SM",45,37.181667,-74.733333,12.2963652536273,12.2609637826681,NA,NA,NA,NA,NA,NA,2.32282209396362,20
2011-01-02,2011,1,2,"000201101H38001","626498","622",NA,0,NA,5.511814,"SM",50,37.983333,-74.073333,13.2148503139615,13.1442915201187,NA,NA,NA,NA,NA,NA,2.68746042251587,51
2011-01-02,2011,1,2,"000201101H38001","626498","621",3.6,0,0,5.511814,"SM",59,38.181667,-73.905,12.8054139912128,12.6254768595099,NA,NA,NA,NA,NA,NA,3.77205586433411,61
2011-01-24,2011,1,24,"000201101H59002","577630","626",2.5,0,0,5.2755934,"SM",57,37.95,-74.131667,11.1303140446544,10.7833796292543,NA,NA,NA,NA,NA,NA,2.03242444992065,49
2011-01-24,2011,1,24,"000201101H59002","577630","626",2.8,0,0,5.2755934,"SM",57,37.811667,-74.215,10.5575426593423,11.1618091464043,NA,NA,NA,NA,NA,NA,3.7284893989563,61
2011-01-24,2011,1,24,"000201101H59002","577630","626",3.2,0,0,5.2755934,"SM",56,37.931667,-74.143333,11.1303140446544,10.7833796292543,NA,NA,NA,NA,NA,NA,2.45859122276306,52
2011-01-24,2011,1,24,"000201101H59002","577630","626",2.2,0,0,5.2755934,"SM",60,37.768333,-74.24,11.8041627332568,11.071718506515,NA,NA,NA,NA,NA,NA,3.17887353897095,61
2011-01-18,2011,1,18,"000201101J83003","581472","622",1.8,0,0,5.3149635,"SM",45,38.851667,-73.268333,11.517044596374,11.2318796440959,NA,NA,NA,NA,NA,NA,1.02166533470154,20
2011-01-18,2011,1,18,"000201101J83003","581472","622",3.4,0,0,5.3149635,"SM",43,38.781667,-73.343333,11.3112277686596,11.0172734856606,NA,NA,NA,NA,NA,NA,0.443149447441101,29
2011-01-18,2011,1,18,"000201101J83003","581472","622",2.2,0,0,5.3149635,"SM",42,38.866667,-73.208333,11.4152348488569,11.4088869988918,NA,NA,NA,NA,NA,NA,1.19010972976685,31
2011-01-10,2011,1,10,"000201101J84002","620064","622",2.5,0,0,4.8425223,"SM",89,37.916944,-74.008889,11.0131229683757,9.91421248018742,NA,NA,NA,NA,NA,NA,3.39488768577576,62
2011-01-10,2011,1,10,"000201101J84002","620064","622",2.5,0,0,4.8425223,"SM",84,38.140278,-73.761944,11.6752525493503,9.69740898907185,NA,NA,NA,NA,NA,NA,4.1808123588562,63
